index	RPKM	genome
K2_TE0153000	0.168092	K
K2_TE0152999	0.168092	K
K2_TE0152997	0.168092	K
K2_TE0152998	0.168092	K
K2_TE0152996	0.168092	K
K2_TE0152995	0.168092	K
K2_TE0152994	0.168092	K
K2_TE0152992	0.168092	K
K2_TE0152991	0.168092	K
K2_TE0152989	0.168092	K
K2_TE0152988	0.168092	K
K2_TE0152990	0.168092	K
K2_TE0152987	0.168092	K
K2_TE0152986	0.168092	K
K2_TE0152985	0.168092	K
K2_TE0152984	0.168092	K
K2_TE0152983	0.168092	K
K2_TE0152982	0.168092	K
K2_TE0152981	0.168092	K
K2_TE0152980	0.168092	K
K2_TE0152979	0.168092	K
K2_TE0152978	0.168092	K
K2_TE0152977	0.168092	K
K2_TE0152976	0.168092	K
K2_TE0152975	0.168092	K
K2_TE0152974	0.168092	K
K2_TE0152973	0.168092	K
K2_TE0152972	0.168092	K
K2_TE0152971	0.168092	K
K2_TE0152103	0.588321	K
K2_TE0152102	2.77351	K
K2_TE0152101	1.59687	K
K2_TE0152100	1.93305	K
K2_TE0151514	0.252137	K
K2_TE0151513	0.840458	K
K2_TE0151512	0.840458	K
K2_TE0151511	1.93305	K
K2_TE0151159	0.168092	K
K2_TE0151155	0.252137	K
K2_TE0151152	0.672367	K
K2_TE0151151	0.588321	K
K2_TE0151150	0.756412	K
K2_TE0151149	0.756412	K
K2_TE0150680	0.168092	K
K2_TE0150679	1.00855	K
K2_TE0150678	1.00855	K
K2_TE0150677	1.00855	K
K2_TE0150676	4.28634	K
K2_TE0149639	0.336183	K
K2_TE0149638	0.504275	K
K2_TE0149637	0.168092	K
K2_TE1703278	14.0357	K
K2_TE1703277	12.775	K
K2_TE1703262	0.168092	K
K2_TE1703261	0.168092	K
K2_TE1703260	0.168092	K
K2_TE1703259	0.168092	K
K2_TE1703258	0.168092	K
K2_TE1703257	0.168092	K
K2_TE1703256	0.168092	K
K2_TE1703255	0.168092	K
K2_TE1703254	0.168092	K
K2_TE1701903	4.62252	K
K2_TE1701902	3.36183	K
K2_TE1701901	3.36183	K
K2_TE1701900	5.54702	K
K2_TE1701542	6.30344	K
K2_TE1701541	3.44588	K
K2_TE1701530	13.2792	K
K2_TE1700171	4.45443	K
K2_TE1700170	6.0513	K
K2_TE1700168	5.96725	K
K2_TE1700169	5.96725	K
K2_TE1698554	1.93305	K
K2_TE1698553	1.93305	K
K2_TE1698552	1.42878	K
K2_TE1698551	1.0926	K
K2_TE1698550	1.26069	K
K2_TE1698548	1.17664	K
K2_TE1698547	1.17664	K
K2_TE1698545	1.34473	K
K2_TE1698546	1.0926	K
K2_TE1698544	1.0926	K
K2_TE1698543	1.0926	K
K2_TE1698542	2.10115	K
K2_TE1697662	0.168092	K
K2_TE1695290	2.68947	K
K2_TE1695289	3.95015	K
K2_TE1692595	0.840458	K
K2_TE1692590	0.504275	K
K2_TE1692589	0.504275	K
K2_TE1692588	0.504275	K
K2_TE1691142	8.40458	K
K2_TE1691100	0.168092	K
K2_TE1691099	0.168092	K
K2_TE1691097	0.168092	K
K2_TE1691098	0.168092	K
K2_TE1690346	0.168092	K
K2_TE1690345	0.168092	K
K2_TE1690344	0.168092	K
K2_TE1690343	0.168092	K
K2_TE1690342	0.168092	K
K2_TE1690341	0.168092	K
K2_TE1690340	0.168092	K
K2_TE1690339	0.168092	K
K2_TE1690338	0.168092	K
K2_TE1690337	0.168092	K
K2_TE1690335	0.168092	K
K2_TE1690334	0.168092	K
K2_TE1690333	0.168092	K
K2_TE1690332	0.168092	K
K2_TE1690331	0.168092	K
K2_TE1690330	0.168092	K
K2_TE1690329	0.168092	K
K2_TE1690328	0.168092	K
K2_TE1690327	0.168092	K
K2_TE1690326	0.168092	K
K2_TE1690325	0.168092	K
K2_TE1690323	0.168092	K
K2_TE1690324	0.168092	K
K2_TE1690321	0.168092	K
K2_TE1690322	0.168092	K
K2_TE1690320	0.168092	K
K2_TE1690319	0.168092	K
K2_TE1690318	0.168092	K
K2_TE1690317	0.168092	K
K2_TE1690316	0.168092	K
