index	RPKM	type	genome
K2_TE0743665	8.15244	specific	K
K2_TE0743666	8.0684	specific	K
K2_TE0743667	7.73222	specific	K
K2_TE0743668	13.6995	specific	K
K2_TE0743669	16.8092	specific	K
K2_TE0743670	13.1111	specific	K
K2_TE0743671	0.588321	specific	K
K2_TE0743672	0.168092	specific	K
K2_TE0753076	1.0926	specific	K
K2_TE0753077	0.924504	specific	K
K2_TE0753087	3.44588	specific	K
K2_TE0753088	0.840458	specific	K
K2_TE0753089	0.840458	specific	K
K2_TE0753090	1.0926	specific	K
K2_TE0753091	0.924504	specific	K
K2_TE0753098	0.168092	specific	K
K2_TE0753102	0.168092	specific	K
K2_TE0754284	0.168092	specific	K
K2_TE0754310	33.03	specific	K
K2_TE0754311	43.0315	specific	K
K2_TE0754312	42.9474	specific	K
K2_TE0754313	38.6611	specific	K
K2_TE0754314	6.38748	specific	K
K2_TE0754315	6.38748	specific	K
K2_TE0754316	6.47153	specific	K
K2_TE0754317	6.55557	specific	K
K2_TE0754318	6.55557	specific	K
K2_TE0754319	6.63962	specific	K
K2_TE0754320	6.63962	specific	K
K2_TE0754321	6.63962	specific	K
K2_TE0754322	6.55557	specific	K
K2_TE0754323	2.68947	specific	K
K2_TE0754325	0.756412	specific	K
K2_TE0754326	0.336183	specific	K
K2_TE0754327	0.252137	specific	K
K2_TE0759111	0.168092	specific	K
K2_TE0763452	0.168092	specific	K
K2_TE0763453	0.168092	specific	K
K2_TE0763455	0.168092	specific	K
K2_TE0763456	0.336183	specific	K
K2_TE0763457	0.168092	specific	K
K2_TE0763470	0.756412	specific	K
K2_TE0763471	2.18519	specific	K
K2_TE0763472	0.756412	specific	K
K2_TE0763473	0.756412	specific	K
K2_TE0763474	0.504275	specific	K
K2_TE0763488	0.168092	specific	K
K2_TE0770456	0.252137	specific	K
K2_TE0770457	0.252137	specific	K
K2_TE0770458	0.252137	specific	K
K2_TE0770459	0.252137	specific	K
K2_TE0770460	0.252137	specific	K
K2_TE0382087	12.775	specific	K
K2_TE0382492	3.69802	specific	K
K2_TE0382493	3.52992	specific	K
K2_TE0384142	3.61397	specific	K
