index	type	TE	TEcoverage	genome
LTR-TE6234	conserved	Ancient	0	A
LTR-TE6255	conserved	Ancient	0	A
LTR-TE6321	conserved	Ancient	0	A
LTR-TE6378	conserved	Ancient	0	A
LTR-TE6637	conserved	Ancient	0	A
LTR-TE6653	conserved	Ancient	0	A
LTR-TE6664	conserved	Ancient	0	A
LTR-TE6709	conserved	Ancient	0	A
LTR-TE6722	conserved	Ancient	0	A
LTR-TE6739	conserved	Ancient	0	A
LTR-TE6766	conserved	Ancient	0	A
LTR-TE6778	conserved	Ancient	0	A
LTR-TE6783	conserved	Ancient	0	A
LTR-TE6788	conserved	Ancient	0	A
LTR-TE6789	conserved	Ancient	0	A
LTR-TE6815	conserved	Ancient	0	A
LTR-TE6869	conserved	Ancient	1	A
LTR-TE6888	conserved	Ancient	0	A
LTR-TE6903	conserved	Ancient	0	A
LTR-TE6928	conserved	Ancient	0	A
LTR-TE6943	conserved	Ancient	0	A
LTR-TE5286	conserved	Ancient	0	A
LTR-TE5290	conserved	Ancient	0	A
LTR-TE5343	conserved	Ancient	0	A
LTR-TE5354	conserved	Ancient	0	A
LTR-TE5396	conserved	Ancient	0	A
LTR-TE5401	conserved	Ancient	0	A
LTR-TE5421	conserved	Ancient	0.1676892	A
LTR-TE5422	conserved	Ancient	1	A
LTR-TE5424	conserved	Ancient	0	A
LTR-TE5460	conserved	Ancient	0	A
LTR-TE5541	conserved	Ancient	0	A
LTR-TE5741	conserved	Ancient	0	A
LTR-TE5848	conserved	Ancient	0	A
LTR-TE5849	conserved	Ancient	0	A
LTR-TE5920	conserved	Ancient	0	A
LTR-TE6084	conserved	Ancient	1	A
LTR-TE6167	conserved	Ancient	0	A
LTR-TE6435	conserved	Ancient	0	A
LTR-TE6464	conserved	Ancient	0	A
LTR-TE6466	conserved	Ancient	0	A
LTR-TE6528	conserved	Ancient	0	A
LTR-TE6574	conserved	Ancient	0	A
LTR-TE6595	conserved	Ancient	0	A
LTR-TE6651	conserved	Ancient	0	A
LTR-TE6661	conserved	Ancient	0	A
LTR-TE6763	conserved	Ancient	0	A
LTR-TE6769	conserved	Ancient	0	A
LTR-TE6784	conserved	Ancient	0	A
LTR-TE6785	conserved	Ancient	0	A
LTR-TE6786	conserved	Ancient	0	A
LTR-TE6791	conserved	Ancient	0	A
LTR-TE6818	conserved	Ancient	0	A
LTR-TE6821	conserved	Ancient	0	A
LTR-TE6860	conserved	Ancient	0	A
LTR-TE6871	conserved	Ancient	0	A
LTR-TE6901	conserved	Ancient	0	A
LTR-TE6906	conserved	Ancient	1	A
LTR-TE6929	conserved	Ancient	0	A
LTR-TE6930	conserved	Ancient	0	A
LTR-TE6936	conserved	Ancient	0	A
LTR-TE6962	conserved	Ancient	0	A
LTR-TE6963	conserved	Ancient	0	A
LTR-TE7688	conserved	Ancient	0	A
LTR-TE7017	conserved	Ancient	0	A
LTR-TE7155	conserved	Ancient	0	A
LTR-TE7166	conserved	Ancient	0	A
LTR-TE7227	conserved	Ancient	0	A
LTR-TE7229	conserved	Ancient	0	A
LTR-TE7248	conserved	Ancient	0	A
LTR-TE7260	conserved	Ancient	0	A
LTR-TE7281	conserved	Ancient	0	A
LTR-TE7287	conserved	Ancient	0	A
LTR-TE7290	conserved	Ancient	0	A
LTR-TE7301	conserved	Ancient	0	A
LTR-TE7380	conserved	Ancient	0	A
LTR-TE7387	conserved	Ancient	0	A
LTR-TE7388	conserved	Ancient	0	A
LTR-TE7391	conserved	Ancient	0	A
LTR-TE7394	conserved	Ancient	0	A
LTR-TE7414	conserved	Ancient	0	A
LTR-TE7453	conserved	Ancient	0	A
LTR-TE7455	conserved	Ancient	0	A
LTR-TE7457	conserved	Ancient	0	A
LTR-TE7466	conserved	Ancient	0	A
LTR-TE7473	conserved	Ancient	0	A
LTR-TE7485	conserved	Ancient	0	A
LTR-TE7580	conserved	Ancient	0	A
LTR-TE7654	conserved	Ancient	0	A
LTR-TE7681	conserved	Ancient	0	A
LTR-TE7682	conserved	Ancient	0	A
LTR-TE7738	conserved	Ancient	0	A
LTR-TE7745	conserved	Ancient	0	A
LTR-TE7756	conserved	Ancient	0	A
LTR-TE7785	conserved	Ancient	0	A
LTR-TE7810	conserved	Ancient	0	A
LTR-TE7811	conserved	Ancient	0	A
LTR-TE7842	conserved	Ancient	0	A
LTR-TE7966	conserved	Ancient	0	A
LTR-TE7989	conserved	Ancient	0	A
LTR-TE8017	conserved	Ancient	0	A
LTR-TE8050	conserved	Ancient	0	A
LTR-TE8062	conserved	Ancient	0	A
LTR-TE8063	conserved	Ancient	0	A
LTR-TE8067	conserved	Ancient	0	A
LTR-TE8070	conserved	Ancient	0	A
LTR-TE8074	conserved	Ancient	1	A
LTR-TE7115	conserved	Ancient	0	A
LTR-TE7183	conserved	Ancient	0	A
LTR-TE7239	conserved	Ancient	0	A
LTR-TE7291	conserved	Ancient	0	A
LTR-TE7332	conserved	Ancient	0	A
LTR-TE7370	conserved	Ancient	0	A
LTR-TE7458	conserved	Ancient	0	A
LTR-TE7585	conserved	Ancient	0	A
LTR-TE7646	conserved	Ancient	0	A
LTR-TE7657	conserved	Ancient	0	A
LTR-TE7692	conserved	Ancient	0	A
LTR-TE7711	conserved	Ancient	0	A
LTR-TE7737	conserved	Ancient	0	A
LTR-TE7748	conserved	Ancient	0	A
LTR-TE7844	conserved	Ancient	0	A
LTR-TE7879	conserved	Ancient	0	A
LTR-TE7893	conserved	Ancient	0	A
LTR-TE7904	conserved	Ancient	0	A
LTR-TE7922	conserved	Ancient	0	A
LTR-TE7931	conserved	Ancient	0	A
LTR-TE8055	conserved	Ancient	0	A
LTR-TE8138	conserved	Ancient	0	A
LTR-TE8146	conserved	Ancient	0	A
LTR-TE8236	conserved	Ancient	0	A
LTR-TE8470	conserved	Ancient	0	A
LTR-TE8735	conserved	Ancient	0	A
LTR-TE8823	conserved	Ancient	0	A
LTR-TE9355	conserved	Ancient	0	A
LTR-TE9416	conserved	Ancient	0	A
LTR-TE9972	conserved	Ancient	0	A
LTR-TE8134	conserved	Ancient	0	A
LTR-TE8153	conserved	Ancient	0.395378	A
LTR-TE8182	conserved	Ancient	0	A
LTR-TE8188	conserved	Ancient	0	A
LTR-TE8238	conserved	Ancient	0	A
LTR-TE8256	conserved	Ancient	0	A
LTR-TE8268	conserved	Ancient	0	A
LTR-TE8277	conserved	Ancient	0	A
LTR-TE8288	conserved	Ancient	0	A
LTR-TE8396	conserved	Ancient	0	A
LTR-TE8400	conserved	Ancient	0	A
LTR-TE8406	conserved	Ancient	0	A
LTR-TE8408	conserved	Ancient	0	A
LTR-TE8417	conserved	Ancient	0	A
LTR-TE8430	conserved	Ancient	0	A
LTR-TE8477	conserved	Ancient	0	A
LTR-TE8509	conserved	Ancient	0	A
LTR-TE8528	conserved	Ancient	0	A
LTR-TE8541	conserved	Ancient	0	A
LTR-TE8614	conserved	Ancient	0	A
LTR-TE8624	conserved	Ancient	0	A
LTR-TE8723	conserved	Ancient	0	A
LTR-TE8728	conserved	Ancient	0	A
LTR-TE8763	conserved	Ancient	0	A
LTR-TE8789	conserved	Ancient	0	A
LTR-TE8842	conserved	Ancient	0	A
LTR-TE8912	conserved	Ancient	0	A
LTR-TE8915	conserved	Ancient	0	A
LTR-TE8947	conserved	Ancient	0	A
LTR-TE8962	conserved	Ancient	0	A
LTR-TE8963	conserved	Ancient	0	A
LTR-TE9008	conserved	Ancient	0	A
LTR-TE9046	conserved	Ancient	0	A
LTR-TE9053	conserved	Ancient	0	A
LTR-TE9059	conserved	Ancient	0	A
LTR-TE9191	conserved	Ancient	0	A
LTR-TE9201	conserved	Ancient	0	A
LTR-TE9216	conserved	Ancient	0	A
LTR-TE9241	conserved	Ancient	1	A
LTR-TE9384	conserved	Ancient	0	A
LTR-TE9391	conserved	Ancient	0	A
LTR-TE9415	conserved	Ancient	0	A
LTR-TE9419	conserved	Ancient	0	A
LTR-TE9428	conserved	Ancient	0	A
LTR-TE9436	conserved	Ancient	0	A
LTR-TE9442	conserved	Ancient	0	A
LTR-TE9475	conserved	Ancient	0	A
LTR-TE9487	conserved	Ancient	0	A
LTR-TE9499	conserved	Ancient	0	A
LTR-TE9508	conserved	Ancient	0	A
LTR-TE9524	conserved	Ancient	0	A
LTR-TE9525	conserved	Ancient	0	A
LTR-TE9551	conserved	Ancient	0	A
LTR-TE9553	conserved	Ancient	0.1753806	A
LTR-TE9562	conserved	Ancient	0	A
LTR-TE9573	conserved	Ancient	0	A
LTR-TE9613	conserved	Ancient	0	A
LTR-TE9636	conserved	Ancient	0	A
LTR-TE9648	conserved	Ancient	0	A
LTR-TE9655	conserved	Ancient	0	A
LTR-TE9698	conserved	Ancient	0	A
LTR-TE9699	conserved	Ancient	0	A
LTR-TE9723	conserved	Ancient	0	A
LTR-TE9770	conserved	Ancient	0	A
LTR-TE9779	conserved	Ancient	0	A
LTR-TE9780	conserved	Ancient	0	A
LTR-TE9807	conserved	Ancient	0	A
LTR-TE9810	conserved	Ancient	0	A
LTR-TE9821	conserved	Ancient	0	A
LTR-TE9826	conserved	Ancient	0	A
LTR-TE9832	conserved	Ancient	0	A
LTR-TE9836	conserved	Ancient	1	A
LTR-TE9844	conserved	Ancient	0	A
