index	FPKM	status	genome
Garb_01G003860.1	0.023286	A	A
Garb_01G003870.1	0.401914	A	A
Garb_01G003880.1	2.745804	A	A
Garb_01G003890.1	37.094944	A	A
Garb_01G003900.1	31.860268	A	A
Garb_01G003910.1	11.967996	A	A
Garb_01G003920.1	0.000000	A	A
Garb_01G003930.1	6.860819	A	A
Garb_01G003940.1	15.040102	A	A
Garb_01G003950.1	0.000000	A	A
Garb_01G003960.1	0.000000	A	A
Garb_01G003970.1	5.464927	A	A
Garb_01G003980.1	0.0	A	A
Garb_01G003990.1	0.649105	A	A
Garb_01G004000.1	14.153531	A	A
Garb_01G004010.1	13.731170	A	A
Garb_01G004020.1	0.170210	A	A
Garb_01G004030.1	2.047907	A	A
Garb_01G004040.1	35.112305	A	A
Garb_01G004050.1	2.510680	A	A
Garb_01G004060.1	0.170975	A	A
Garb_01G004070.1	1.323068	A	A
Garb_01G004080.1	5.725621	A	A
Garb_01G004090.1	0.0	A	A
Garb_01G004100.1	0.0	A	A
Garb_01G004120.1	6.898997	A	A
Garb_01G004130.1	9.736582	A	A
Garb_01G004140.1	15.594840	A	A
Garb_01G004150.1	3.569967	A	A
Garb_01G004160.1	7.619152	A	A
Garb_01G004170.1	0.000000	A	A
Garb_01G004180.1	82.732475	A	A
Garb_01G004190.1	11.699388	A	A
Garb_01G004200.1	3.330614	A	A
Garb_01G004210.1	0.066462	A	A
Garb_01G004220.1	12.205477	A	A
Garb_01G004230.1	81.046036	A	A
Garb_01G004240.1	6.732977	A	A
Garb_01G004250.1	0.0	A	A
Garb_01G004260.1	6.919288	A	A
Garb_01G004270.1	0.917771	A	A
Garb_01G004280.1	11.347034	A	A
Garb_01G004290.1	2.828871	A	A
Garb_01G004300.1	25.413700	A	A
Garb_01G004310.1	11.216176	A	A
Garb_01G004320.1	0.0	A	A
Garb_01G004330.1	7.667576	A	A
Garb_01G004340.1	0.0	A	A
Garb_01G004370.1	0.024850	A	A
Garb_01G004380.1	0.0	A	A
Garb_01G004390.1	7.418635	A	A
Garb_01G004400.1	13.836073	A	A
Garb_01G004410.1	6.687201	A	A
Garb_01G004420.1	9.069702	A	A
Garb_01G004430.1	2.359394	A	A
Garb_01G004440.1	0.0	A	A
Garb_01G004450.1	7.547537	A	A
Garb_01G004460.1	1.060194	A	A
Garb_01G004470.1	0.0	A	A
Garb_01G004480.1	0.0	A	A
Garb_01G004490.1	2.872627	A	A
Garb_01G004500.1	0.0	A	A
Garb_01G004510.1	0.140825	A	A
Garb_01G004520.1	0.000000	A	A
Garb_01G004530.1	2.496660	A	A
Garb_01G004540.1	7.427366	A	A
Garb_01G004550.1	10.802923	A	A
Garb_01G004560.1	17.686544	A	A
Garb_01G004570.1	8.699336	A	A
Garb_01G004580.1	21.974451	A	A
Garb_01G004590.1	0.0	A	A
Garb_01G004600.1	0.000000	A	A
Garb_01G004610.1	10.877637	A	A
Garb_01G004620.1	2.540558	A	A
Garb_01G004630.1	1.246420	A	A
Garb_01G004640.1	26.302797	A	A
Garb_01G004650.1	12.966588	A	A
Garb_01G004660.1	11.938792	A	A
Garb_01G004670.1	150.335449	A	A
Garb_01G004680.1	129.729904	A	A
Garb_01G004690.1	8.078174	A	A
Garb_01G004700.1	9.469134	A	A
Garb_01G004710.1	67.431992	A	A
Garb_01G004720.1	3.197136	A	A
Garb_01G004730.1	2.450609	A	A
Garb_01G004740.1	8.132038	A	A
Garb_01G004750.1	12.527009	A	A
Garb_01G004760.1	20.871872	A	A
Garb_01G004770.1	57.952198	A	A
Garb_01G004780.1	52.824371	A	A
Garb_01G004790.1	3.778528	A	A
Garb_01G004800.1	3.385903	A	A
Garb_01G004810.1	6.059487	A	A
Garb_01G004820.1	41.532852	A	A
Garb_01G004830.1	8.848417	A	A
Garb_01G004840.1	8.745333	A	A
Garb_01G004850.1	5.144377	A	A
Garb_01G004860.1	7.819511	A	A
Garb_01G004870.1	12.720275	A	A
Garb_01G004880.1	0.0	A	A
Garb_01G004890.1	0.139037	A	A
Garb_01G004900.1	0.0	A	A
Garb_01G004910.1	0.0	A	A
Garb_01G004920.1	48.930119	A	A
Garb_01G004930.1	6.250899	A	A
Garb_01G004940.1	8.027501	A	A
Garb_01G004950.1	9.788947	A	A
Garb_01G004960.1	0.0	A	A
Garb_01G004970.1	0.0	A	A
Garb_01G004980.1	1.400559	A	A
Garb_01G004990.1	6.228798	A	A
Garb_01G005000.1	13.364601	A	A
Garb_01G005010.1	0.0	A	A
Garb_01G005020.1	0.174772	A	A
Garb_01G005030.1	0.0	A	A
Garb_01G005040.1	0.0	A	A
Garb_01G005050.1	0.420503	A	A
Garb_01G005060.1	31.791418	A	A
Garb_01G005070.1	0.000000	A	A
Garb_01G005080.1	337.744141	A	A
Garb_01G005090.1	4.203005	A	A
Garb_01G005100.1	0.058139	A	A
Garb_01G005110.1	3.525767	A	A
Garb_01G005120.1	0.091002	A	A
Garb_01G005130.1	1.936477	A	A
Garb_01G005140.1	0.0	A	A
Garb_01G005150.1	0.0	A	A
