line	year	genome
479	5.50714	D
480	2.43571	D
481	5.95	D
482	1.73571	D
483	1.15714	D
484	1.56429	D
485	3.72143	D
486	0.985714	D
487	2.55	D
488	1.92143	D
489	1.49286	D
490	2.07143	D
491	0.45	D
492	0.742857	D
493	1.37143	D
494	2.05	D
495	4.60714	D
496	1.15714	D
497	1.4	D
498	2.63571	D
499	3.5	D
500	2.99286	D
501	2.71429	D
502	2.39286	D
503	2.50714	D
504	4.62143	D
505	3.29286	D
506	1.1	D
507	1.20714	D
508	1.90714	D
509	5.50714	D
510	2.27857	D
511	3.89286	D
512	2.03571	D
513	4.02857	D
514	0.471429	D
515	0.442857	D
516	2.79286	D
517	1.72143	D
518	6.31429	D
519	5.17857	D
520	3.80714	D
521	0.378571	D
522	0.414286	D
523	1.16429	D
524	1.67143	D
525	1.16429	D
526	1.82857	D
527	0.742857	D
528	0.471429	D
529	2.75	D
530	6.08571	D
531	7.35	D
532	1.96429	D
533	2.17857	D
534	3.1	D
535	1.22143	D
536	1.64286	D
537	3.79286	D
538	7.05	D
539	1.98571	D
540	2.15	D
541	1.66429	D
542	2.37143	D
543	1.73571	D
544	2.96429	D
545	1.8	D
546	1.09286	D
547	1.6	D
548	0.514286	D
549	1.56429	D
550	1.77143	D
551	2.1	D
552	2.11429	D
553	1.5	D
554	3.04286	D
555	0.485714	D
556	1.38571	D
557	5.22857	D
558	1.80714	D
559	0.985714	D
560	1.18571	D
561	3.62143	D
562	2.20714	D
563	1.27857	D
564	4.14286	D
565	1	D
566	0.914286	D
567	2.03571	D
568	1.02857	D
569	0.821429	D
570	2.96429	D
571	0.228571	D
572	2.11429	D
573	7.13571	D
574	1.39286	D
575	2.31429	D
576	1.05	D
577	1.87143	D
578	1.65714	D
579	1.21429	D
580	2.46429	D
581	2.04286	D
582	2.15714	D
583	1.18571	D
584	2.66429	D
585	2.48571	D
586	3.35	D
587	4.78571	D
588	2.90714	D
589	2.84286	D
590	1.65714	D
591	6.87857	D
592	1.33571	D
593	3.98571	D
594	2.24286	D
595	1.92143	D
596	3.44286	D
597	0.971429	D
598	3	D
599	1.74286	D
600	1.92857	D
601	5.72143	D
602	1.87857	D
603	4.67143	D
604	0.392857	D
605	3.38571	D
606	4.06429	D
607	3.32143	D
608	1.65	D
609	5.22857	D
610	1.50714	D
611	4.9	D
612	1.14286	D
613	0.642857	D
614	2.70714	D
615	2.02143	D
616	1.86429	D
617	2.82857	D
618	3.25	D
619	3.47857	D
620	6.45714	D
621	0.228571	D
622	2.89286	D
623	4.12143	D
624	1.77857	D
625	2.85714	D
626	2.06429	D
627	3.19286	D
628	1.16429	D
629	2.28571	D
630	1.27857	D
631	3.00714	D
632	3.37857	D
633	1.47143	D
634	2.43571	D
635	1.92857	D
636	2.6	D
637	3.22857	D
638	1.55714	D
639	2.87857	D
640	3.31429	D
641	3.28571	D
642	2.82857	D
643	1.05	D
644	1.37143	D
645	2.22857	D
646	2.46429	D
647	1.58571	D
648	7.15	D
649	5.42857	D
650	1.35	D
651	9.72143	D
652	2.07143	D
653	2.67857	D
654	1.5	D
655	1.07143	D
656	1.22857	D
657	0.792857	D
658	1.76429	D
659	1.36429	D
660	0.35	D
661	2.65714	D
662	3.50714	D
663	1.42143	D
664	0.792857	D
665	1.40714	D
666	3.95714	D
667	0.864286	D
668	0.65	D
669	1.17143	D
670	4.02143	D
671	0.621429	D
672	1.31429	D
673	6.97143	D
674	2.72143	D
675	2.55	D
676	3.15714	D
677	1.60714	D
678	2.73571	D
679	2.80714	D
680	2.56429	D
681	1.05	D
682	2.55714	D
683	0.857143	D
684	0.578571	D
685	1.3	D
686	5.28571	D
687	1.17143	D
688	3	D
689	1.06429	D
690	2.10714	D
691	0.878571	D
692	1.48571	D
693	4.31429	D
694	1.75714	D
695	1.59286	D
696	4.12143	D
697	1.93571	D
698	4.54286	D
699	2.22143	D
700	0.857143	D
701	2.52143	D
702	1.68571	D
703	4.19286	D
704	0.564286	D
705	1.45714	D
706	3.10714	D
707	6.68571	D
708	1.53571	D
709	4.43571	D
710	5.17143	D
711	1.72857	D
712	3.43571	D
713	3.01429	D
714	2.64286	D
715	2.63571	D
716	3.57143	D
717	4.24286	D
718	5.13571	D
719	2.05714	D
720	1.27143	D
721	1.48571	D
722	2.23571	D
723	0.578571	D
724	1.95714	D
725	4.24286	D
726	3.06429	D
727	6.50714	D
728	0.864286	D
729	2.1	D
730	1.04286	D
731	4.98571	D
732	3.20714	D
733	2.77857	D
734	2.33571	D
735	1.29286	D
736	2.48571	D
737	1.9	D
738	3.83571	D
739	2.97857	D
740	1.21429	D
741	1.65	D
742	2.23571	D
743	1.62857	D
744	2.19286	D
745	1.94286	D
746	2.51429	D
747	3.29286	D
748	1.91429	D
749	2.02857	D
750	0.821429	D
751	3.62143	D
752	10.9071	D
753	3.37857	D
754	2.64286	D
755	1.44286	D
756	3.85714	D
757	2.8	D
758	3.42857	D
759	0.442857	D
760	3.52143	D
761	1.02857	D
762	2.71429	D
763	3.36429	D
764	1.83571	D
765	1.81429	D
766	1.45	D
767	2.12143	D
768	1.95714	D
769	1.2	D
770	2.3	D
771	3.77143	D
772	2.55	D
773	1.82857	D
774	2.88571	D
775	6.60714	D
776	2.1	D
777	2.72857	D
778	0.307143	D
779	2.30714	D
780	1.79286	D
781	0.521429	D
782	1.93571	D
783	2.91429	D
784	3.16429	D
785	0.55	D
786	5.87143	D
787	5.13571	D
788	2.66429	D
789	5.61429	D
790	1.57857	D
791	1.98571	D
792	1.48571	D
793	0.85	D
794	1.28571	D
795	5.79286	D
796	6.92143	D
797	1.95	D
798	0.507143	D
799	3.55	D
800	7.59286	D
801	6.10714	D
802	1.86429	D
803	1.36429	D
804	2.71429	D
805	11.0071	D
806	1.92857	D
807	0.542857	D
808	0.514286	D
809	2.85	D
810	3.42857	D
811	1.40714	D
812	1.84286	D
813	1.45714	D
814	2.29286	D
815	0.528571	D
816	0.678571	D
817	5.7	D
818	0.578571	D
819	3.15	D
820	1.25	D
821	1.47857	D
822	0.478571	D
823	1.44286	D
824	1.17857	D
825	1.69286	D
826	1.04286	D
827	3.02143	D
828	2.19286	D
829	1.77857	D
830	0.75	D
831	8.17143	D
832	0.378571	D
833	5.01429	D
834	2.96429	D
835	2.17143	D
836	3.22143	D
837	1.33571	D
838	6.82857	D
839	8.04286	D
840	1.65714	D
841	1.02143	D
842	2.79286	D
843	2.67857	D
844	3.39286	D
845	2.27857	D
846	4.15714	D
847	2.78571	D
848	3.48571	D
849	0.614286	D
850	2.52143	D
851	1.54286	D
852	2.79286	D
853	1.48571	D
854	1.93571	D
855	2.33571	D
856	0.685714	D
857	1.26429	D
858	3.66429	D
859	0.342857	D
860	2.45	D
861	5.00714	D
862	4.37143	D
863	3.12857	D
864	3.15714	D
865	5.51429	D
866	1.2	D
867	1.57143	D
868	2.17857	D
869	1.49286	D
870	5.59286	D
871	0.971429	D
872	2.94286	D
873	0.207143	D
874	1.17857	D
875	1.75	D
876	4.44286	D
877	1.02857	D
878	2.30714	D
879	1.31429	D
880	0.792857	D
881	1.49286	D
882	2.18571	D
883	1.89286	D
884	1.10714	D
885	3.90714	D
886	3.33571	D
887	1.91429	D
888	2.23571	D
889	2.80714	D
890	0.992857	D
891	1.63571	D
892	2.50714	D
893	4.36429	D
894	1.57143	D
895	2.00714	D
896	2.53571	D
897	4.64286	D
898	2.03571	D
899	6.66429	D
900	2.05714	D
901	2.57857	D
902	2.27857	D
903	3.06429	D
904	4.32857	D
905	2.77857	D
906	1.42143	D
907	8.42143	D
908	3.64286	D
909	1.99286	D
